Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Saturday,10 - 10E - 07:36,0,0,1.9,98.1,0,0
Saturday,10 - 10E - 08:06,1,0,3.8,96.2,0,4
Saturday,10 - 10E - 08:36,1.6,1,3.8,96.2,0,8
Saturday,10 - 10E - 09:06,1.7,2,2.3,97.7,0,10
Saturday,10 - 10E - 09:36,1,1,1.5,90.7,7.7,7
Saturday,10 - 10E - 10:06,1.8,1,0.4,99.6,0,14
Saturday,10 - 10E - 10:36,1,2,0,67.7,32.3,4
Saturday,10 - 10E - 11:06,1,3,0.8,91.5,7.7,5
Saturday,10 - 10E - 11:36,1.8,1,1.2,98.8,0,9
Saturday,10 - 10E - 12:06,1.2,1,1.5,93.5,5,6
Saturday,10 - 10E - 12:36,3,3,0,87.5,12.5,24
Saturday,10 - 10E - 13:06,2,2,1.2,97.7,1.2,14
Saturday,10 - 10E - 13:36,2.3,2.5,1.2,94.2,4.6,14
Saturday,10 - 10E - 14:06,1.6,2,1.9,98.1,0,16
Saturday,10 - 10E - 14:36,2.8,3,0.8,91.2,8.1,14
Saturday,10 - 10E - 15:07,1.6,2,3.5,96.5,0,13
Saturday,10 - 10E - 15:37,2.3,5,1.5,97.3,1.2,30
Saturday,10 - 10E - 16:07,2,1,10.4,89.6,0,14
Saturday,10 - 10E - 16:37,2.8,4,3.5,93.5,3.1,17
Saturday,10 - 10E - 17:07,1,2,0,93.8,6.2,6
Saturday,10 - 10E - 17:37,1.8,4,1.9,98.1,0,7
Saturday,10 - 10E - 18:07,2,1,11.9,87.7,0.4,14
Saturday,10 - 10E - 18:37,1.5,3,1.9,98.1,0,6
Saturday,10 - 10E - 19:07,1.7,2,2.3,97.7,0,5
Saturday,10 - 10W - 07:00,1,0,16.1,83.9,0,1
Saturday,10 - 10W - 07:30,1,1,5.9,94.1,0,2
Saturday,10 - 10W - 08:00,1.4,0,5.5,94.5,0,7
Saturday,10 - 10W - 08:30,1.6,1,6.9,93.1,0,18
Saturday,10 - 10W - 09:00,1.4,1,10.3,89.7,0,11
Saturday,10 - 10W - 09:30,1.5,1,6.6,86.8,6.6,12
Saturday,10 - 10W - 10:00,1.4,1,6.2,86.1,7.7,11
Saturday,10 - 10W - 10:30,1.4,0,5.1,94.9,0,10
Saturday,10 - 10W - 11:00,1.9,2,3.3,61.2,35.5,15
Saturday,10 - 10W - 11:30,1.2,2,4.4,87.5,8.1,13
Saturday,10 - 10W - 12:00,2.2,1,4.8,95.2,0,22
Saturday,10 - 10W - 12:30,2.4,1,5.1,94.1,0.7,24
Saturday,10 - 10W - 13:00,3.1,2,4.4,63.1,32.5,28
Saturday,10 - 10W - 13:30,2.6,1,5.9,94.1,0,21
Saturday,10 - 10W - 14:00,1.5,1,6.2,93.8,0,15
Saturday,10 - 10W - 14:30,1.4,1,5.9,94.1,0,11
Saturday,10 - 10W - 15:00,2,3,4.4,68.9,26.7,20
Saturday,10 - 10W - 15:30,2.2,2,2.2,84.6,13.2,22
Saturday,10 - 10W - 16:00,2.1,4,4.8,95.2,0,21
Saturday,10 - 10W - 16:30,2.3,2,15,84.6,0.4,18
Saturday,10 - 10W - 17:00,1.8,5,4.8,93.8,1.5,14
Saturday,10 - 10W - 17:30,2.2,3,4.8,87.5,7.7,13
Saturday,10 - 10W - 18:00,1.6,4,6.2,91.6,2.2,11
Saturday,10 - 10W - 18:30,1.8,2,24.2,75.8,0,16
Saturday,10 - 10W - 19:00,2,4,6.2,93,0.7,16
Weekday,10 - 10E - 06:36,1.3,2,0.2,97.7,2.2,19
Weekday,10 - 10E - 07:06,2.2,0,0.5,73.3,26.2,50
Weekday,10 - 10E - 07:37,1.6,2,0.2,59.4,40.5,43
Weekday,10 - 10E - 08:10,2,1,2.4,80.6,17,63
Weekday,10 - 10E - 08:38,1.5,1,0.1,76.8,23.2,43
Weekday,10 - 10E - 09:06,1.6,1,0.2,82.1,17.8,60
Weekday,10 - 10E - 09:36,1.6,2,0.6,88.3,11,73
Weekday,10 - 10E - 10:06,1.7,2,0.9,87.8,11.3,67
Weekday,10 - 10E - 10:36,1.8,1,0.1,69.6,30.3,65
Weekday,10 - 10E - 11:06,2,2,0.2,80.6,19.1,86
Weekday,10 - 10E - 11:36,1.6,2,0,84.5,15.5,53
Weekday,10 - 10E - 12:06,1.7,3,0,68.1,31.9,68
Weekday,10 - 10E - 12:36,2.3,2,0,73.9,26.1,112
Weekday,10 - 10E - 13:06,2,3,0.2,86.4,13.4,92
Weekday,10 - 10E - 13:37,2.1,2,0.7,82.2,17.1,89
Weekday,10 - 10E - 14:07,2,3,2.1,76.9,21,78
Weekday,10 - 10E - 14:37,1.9,2,1.3,79.9,18.8,77
Weekday,10 - 10E - 15:11,2,5,1.6,86.6,11.9,94
Weekday,10 - 10E - 15:39,2.1,5,0.3,48.3,51.4,98
Weekday,10 - 10E - 16:08,2,3,0.3,80.4,19.2,72
Weekday,10 - 10E - 16:38,1.7,3,4.3,80.7,15,73
Weekday,10 - 10E - 17:08,2.1,3,1,93.2,5.8,58
Weekday,10 - 10E - 17:38,1.7,4,0.4,84.1,15.5,44
Weekday,10 - 10E - 18:08,1.2,2,5.8,90,4.2,38
Weekday,10 - 10E - 18:37,1.7,2,11.6,82.8,5.6,40
Weekday,10 - 10E - 19:07,1.4,3,2.2,97.4,0.4,32
Weekday,10 - 10E - 19:37,1.3,3,1.3,94.3,4.4,26
Weekday,10 - 10W - 06:00,1.2,0,4.8,95.2,0,30
Weekday,10 - 10W - 06:30,1.5,1,10.3,89.7,0,54
Weekday,10 - 10W - 07:00,2.4,1,4.8,93.5,1.7,142
Weekday,10 - 10W - 07:30,1.6,1,5.6,89.3,5.1,77
Weekday,10 - 10W - 08:00,1.6,1,3.5,92.6,3.9,68
Weekday,10 - 10W - 08:30,2,1,5.9,80.5,13.6,86
Weekday,10 - 10W - 09:00,2.8,1,3.4,92.1,4.6,158
Weekday,10 - 10W - 09:30,2.1,1,12.6,87.4,0,115
Weekday,10 - 10W - 10:00,2.1,2,6.2,90.2,3.6,96
Weekday,10 - 10W - 10:30,2,2,4.4,88.9,6.7,89
Weekday,10 - 10W - 11:00,2.6,1,4.3,89.8,5.9,129
Weekday,10 - 10W- 11:30,2.4,2,9.1,83.3,7.6,117
Weekday,10 - 10W - 12:00,1.9,2,5,87.2,7.8,71
Weekday,10 - 10W - 12:30,1.8,2,5.4,83.5,11.1,76
