Route,YearMonth,TotalFareCounts
1,2023-01,"18,428.00"
1,2023-02,"17,232.00"
1,2023-03,"19,974.00"
1,2023-04,"19,433.00"
1,2023-05,"21,871.00"
1,2023-06,"20,843.00"
1,2023-07,"19,623.00"
1,2023-08,"21,705.00"
1,2023-09,"22,046.00"
1,2023-10,"23,394.00"
1,2023-11,"20,887.00"
1,2023-12,"18,392.00"
1,2024-01,"17,788.00"
1,2024-02,"20,127.00"
1,2024-03,"21,900.00"
1,2024-04,"23,156.00"
1,2024-05,"23,242.00"
1,2024-06,"23,089.00"
1,2024-07,"22,844.00"
1,2024-08,"24,486.00"
1,2024-09,"22,698.00"
1,2024-10,"25,986.00"
1,2024-11,"22,151.00"
1,2024-12,"20,994.00"
1,2025-01,"22,611.00"
1,2025-02,"21,088.00"
1,2025-03,"23,494.00"
1,2025-04,"23,818.00"
1,2025-05,"23,538.00"
1,2025-06,"22,446.00"
1,2025-07,"23,102.00"
1,2025-08,"23,288.00"
1,2025-09,"24,001.00"
1,2025-10,"25,964.00"
1,2025-11,"21,457.00"
1,2025-12,"20,392.00"
1,2026-01,"21,673.00"
1,2026-02,"21,712.00"
1,2026-03,"24,329.00"
1,2026-04,"23,496.00"
1,2026-05,"23,887.00"
1,2026-06,"25,207.00"
1,2026-07,"19,411.00"
10,2024-08,378
10,2024-09,"1,747.00"
10,2024-10,"1,872.00"
10,2024-11,"1,486.00"
10,2024-12,"1,356.00"
10,2025-01,"1,556.00"
10,2025-02,"1,681.00"
10,2025-03,"1,720.00"
10,2025-04,"1,795.00"
10,2025-05,"2,027.00"
10,2025-06,"1,491.00"
10,2025-07,"1,380.00"
10,2025-08,"1,548.00"
10,2025-09,"1,839.00"
10,2025-10,"2,274.00"
10,2025-11,"1,591.00"
10,2025-12,"1,510.00"
10,2026-01,"1,478.00"
10,2026-02,"1,547.00"
10,2026-03,"1,706.00"
10,2026-04,"1,673.00"
10,2026-05,"1,826.00"
10,2026-06,"1,690.00"
10,2026-07,"1,436.00"
123,2023-01,"12,252.00"
123,2023-02,"11,528.00"
123,2023-03,"13,367.00"
123,2023-04,"13,107.00"
123,2023-05,"14,495.00"
123,2023-06,"13,976.00"
123,2023-07,"13,198.00"
123,2023-08,"13,597.00"
123,2023-09,"14,298.00"
123,2023-10,"14,752.00"
123,2023-11,"13,389.00"
123,2023-12,"13,038.00"
123,2024-01,"12,656.00"
123,2024-02,"13,750.00"
123,2024-03,"14,477.00"
123,2024-04,"14,392.00"
123,2024-05,"14,563.00"
123,2024-06,"14,352.00"
123,2024-07,"13,224.00"
123,2024-08,"14,761.00"
123,2024-09,"15,324.00"
123,2024-10,"16,466.00"
123,2024-11,"12,006.00"
123,2024-12,"12,749.00"
123,2025-01,"13,329.00"
123,2025-02,"12,786.00"
123,2025-03,"15,126.00"
123,2025-04,"15,048.00"
123,2025-05,"15,164.00"
123,2025-06,"14,009.00"
123,2025-07,"13,863.00"
123,2025-08,"13,883.00"
123,2025-09,"14,369.00"
123,2025-10,"15,283.00"
123,2025-11,"13,833.00"
123,2025-12,"13,506.00"
123,2026-01,"13,561.00"
123,2026-02,"12,966.00"
123,2026-03,"14,739.00"
123,2026-04,"14,221.00"
123,2026-05,"14,714.00"
123,2026-06,"14,169.00"
123,2026-07,"10,920.00"
170,2023-01,"1,727.00"
170,2023-02,"1,473.00"
170,2023-03,"1,698.00"
170,2023-04,"1,501.00"
170,2023-05,"1,757.00"
170,2023-06,"1,575.00"
170,2023-07,"1,316.00"
170,2023-08,"1,704.00"
170,2023-09,"1,831.00"
170,2023-10,"1,926.00"
170,2023-11,"1,829.00"
170,2023-12,"1,432.00"
170,2024-01,"1,449.00"
170,2024-02,"1,529.00"
170,2024-03,"1,644.00"
170,2024-04,"1,611.00"
170,2024-05,"1,516.00"
170,2024-06,"1,498.00"
170,2024-07,"1,405.00"
170,2024-08,"1,471.00"
170,2024-09,"1,900.00"
170,2024-10,"2,078.00"
170,2024-11,"1,842.00"
170,2024-12,"1,452.00"
170,2025-01,"1,632.00"
170,2025-02,"1,458.00"
170,2025-03,"1,607.00"
170,2025-04,"1,790.00"
170,2025-05,"1,650.00"
170,2025-06,"1,534.00"
170,2025-07,"1,597.00"
170,2025-08,"1,610.00"
170,2025-09,"2,106.00"
170,2025-10,"2,660.00"
170,2025-11,"2,116.00"
170,2025-12,"1,875.00"
170,2026-01,"2,177.00"
170,2026-02,"2,219.00"
170,2026-03,"2,523.00"
170,2026-04,"2,442.00"
170,2026-05,"2,532.00"
170,2026-06,"2,040.00"
170,2026-07,"1,592.00"
2,2025-06,455
2,2025-07,"1,029.00"
2,2025-08,"1,144.00"
2,2025-09,"1,950.00"
2,2025-10,"2,474.00"
2,2025-11,"1,588.00"
2,2025-12,"1,466.00"
2,2026-01,"2,083.00"
2,2026-02,"2,019.00"
2,2026-03,"2,286.00"
2,2026-04,"2,325.00"
2,2026-05,"2,225.00"
2,2026-06,"2,134.00"
2,2026-07,"1,879.00"
20,2023-01,"4,978.00"
20,2023-02,"4,807.00"
20,2023-03,"5,879.00"
20,2023-04,"5,308.00"
20,2023-05,"6,059.00"
20,2023-06,"5,153.00"
20,2023-07,"4,153.00"
20,2023-08,"4,847.00"
20,2023-09,"5,737.00"
20,2023-10,"6,257.00"
20,2023-11,"5,459.00"
20,2023-12,"4,439.00"
20,2024-01,"4,612.00"
20,2024-02,"5,061.00"
20,2024-03,"5,307.00"
20,2024-04,"5,413.00"
20,2024-05,"5,833.00"
20,2024-06,"4,990.00"
20,2024-07,"4,461.00"
20,2024-08,"5,297.00"
20,2024-09,"6,668.00"
20,2024-10,"7,623.00"
20,2024-11,"5,450.00"
