Day,Trip,AverageDailyBoardings,MedianPassengerLoad,Early,OnTime,Late,TotalFareCounts
Saturday,3 - 3 N - 07:00,5,2,3.8,96.2,0,65
Saturday,3 - 3 N - 07:15,1.5,0,7.7,92.3,0,15
Saturday,3 - 3 N - 07:30,5.2,4,20.8,79.2,0,62
Saturday,3 - 3 N - 07:45,4,1,6.5,86.2,7.3,48
Saturday,3 - 3 N - 08:00,2.8,2,10.7,89.3,0,28
Saturday,3 - 3 N - 08:15,2.8,2,14,86,0,34
Saturday,3 - 3 N - 08:30,4.2,3,18.3,75.1,6.6,54
Saturday,3 - 3 N - 08:45,3.9,0,16.3,82.9,0.8,43
Saturday,3 - 3 N - 09:00,5.1,3,12.1,87.5,0.4,61
Saturday,3 - 3 N - 09:15,5.4,4,10.9,89.1,0,70
Saturday,3 - 3 N - 09:30,6.2,5,9.2,88.3,2.6,80
Saturday,3 - 3 N - 09:45,6.3,3,12.7,87.3,0,76
Saturday,3 - 3 N - 10:00,5.5,3,9.5,90.5,0,71
Saturday,3 - 3 N - 10:15,5.9,7,9.1,88.7,2.3,71
Saturday,3 - 3 N - 10:30,4.5,6,10.6,89.4,0,58
Saturday,3 - 3 N - 10:45,5,3,12.6,85.8,1.6,60
Saturday,3 - 3 N - 11:00,6.6,4,8.4,91.6,0,86
Saturday,3 - 3 N - 11:15,5.5,5,7.1,92.9,0,71
Saturday,3 - 3 N - 11:30,8,10,8.8,83.5,7.7,104
Saturday,3 - 3 N - 11:45,5.8,3,13.5,85.7,0.8,69
Saturday,3 - 3 N - 12:00,7.8,4,6.2,86.1,7.7,102
Saturday,3 - 3 N - 12:15,5.6,5,7.3,87.2,5.5,73
Saturday,3 - 3 N - 12:30,7.8,11,6.6,84.2,9.2,101
Saturday,3 - 3 N - 12:45,6.2,3,6,93.7,0.4,74
Saturday,3 - 3 N - 13:00,7.3,4,7.7,84.9,7.4,95
Saturday,3 - 3 N - 13:15,5.4,8,8.6,87.9,3.5,65
Saturday,3 - 3 N - 13:30,9,11.5,5.4,81.9,12.7,117
Saturday,3 - 3 N - 13:45,6.6,8,14.5,76.2,9.4,79
Saturday,3 - 3 N - 14:00,7,5,8.7,76.5,14.8,91
Saturday,3 - 3 N - 14:15,6.7,7,10.8,86.6,2.5,80
Saturday,3 - 3 N - 14:30,4.7,9,12.2,82.7,5.1,56
Saturday,3 - 3 N - 14:45,6.8,4,12.7,87.3,0,89
Saturday,3 - 3 N - 15:00,5.3,6,20.2,79.8,0,63
Saturday,3 - 3 N - 15:15,5.6,10,9.4,85.9,4.7,73
Saturday,3 - 3 N - 15:30,6.2,11,15.2,80.5,4.3,81
Saturday,3 - 3 N - 15:45,7.3,8,11.2,88.8,0,95
Saturday,3 - 3 N - 16:00,5.6,5,22,76.5,1.4,67
Saturday,3 - 3 N - 16:15,7.5,9,13.4,82.3,4.3,97
Saturday,3 - 3 N - 16:30,9.3,9,8.7,85.6,5.8,111
Saturday,3 - 3 N - 16:45,7.4,8,13.4,84.1,2.5,96
Saturday,3 - 3 N - 17:00,5.2,5,26.4,72.9,0.7,62
Saturday,3 - 3 N - 17:15,6.9,6,5.1,85.6,9.4,90
Saturday,3 - 3 N - 17:30,6.2,9,11.6,84.8,3.6,80
Saturday,3 - 3 N - 17:45,6.7,4,6.1,93.9,0,87
Saturday,3 - 3 N - 18:00,3.1,4,22,77.6,0.4,40
Saturday,3 - 3 N - 18:15,6.8,7,8.3,91.7,0,81
Saturday,3 - 3 N - 18:30,5.9,9,14.5,83.7,1.8,77
Saturday,3 - 3 N - 18:45,4,8,16.2,78.7,5.1,48
Saturday,3 - 3 N - 19:00,3.6,3,21.3,78.7,0,40
Saturday,3 - 3 N - 19:15,5,7,9.7,90.3,0,65
Saturday,3 - 3 N - 19:30,6.3,10,14.4,85.2,0.4,75
Saturday,3 - 3N - 19:45,7.3,7,10.5,83.6,5.8,88
Saturday,3 - 3N - 20:00,2.5,2,40.5,59.5,0,32
Saturday,3 - 3N - 20:30,6.9,11,9.7,77.6,12.6,83
Saturday,3 - 3N - 21:00,3,5,26.4,73.6,0,39
Saturday,3 - 3N - 21:30,3,8.5,18.5,81.2,0.4,33
Saturday,3 - 3S - 07:00,3,1,4.5,93.6,1.9,36
Saturday,3 - 3S - 07:15,1,0,5.8,94.2,0,6
Saturday,3 - 3S - 07:30,2.5,1,5,92.7,2.3,25
Saturday,3 - 3S - 07:45,3.9,2,4.1,95.9,0,43
Saturday,3 - 3S - 08:00,3.7,3,4,88.4,7.6,48
Saturday,3 - 3S - 08:15,3.3,1,5.3,90.4,4.3,36
Saturday,3 - 3S - 08:30,4.5,3,4.7,93.1,2.2,50
Saturday,3 - 3S - 08:45,2.8,3,4.8,92.7,2.5,36
Saturday,3 - 3S - 09:00,5.6,5,4.3,93.6,2.1,73
Saturday,3 - 3S - 09:15,4.3,2,5,94.4,0.7,52
Saturday,3 - 3S - 09:30,7.5,4,4.3,94.2,1.5,97
Saturday,3 - 3S - 09:45,4.5,5,4.4,92.8,2.8,58
Saturday,3 - 3S - 10:00,5.1,5,4,94.2,1.8,66
Saturday,3 - 3S - 10:15,5.2,2,4.7,92.9,2.4,62
Saturday,3 - 3S - 10:30,6.9,4,4.3,93.3,2.4,90
Saturday,3 - 3S - 10:45,4.4,5,9.2,88.6,2.2,53
Saturday,3 - 3S - 11:00,6,9,4.3,91.2,4.6,72
Saturday,3 - 3S - 11:15,6.5,1,6,86.4,7.6,78
Saturday,3 - 3S - 11:30,7.2,4,6.1,89.6,4.3,93
Saturday,3 - 3S - 11:45,5.7,8,7.6,92.1,0.3,74
Saturday,3 - 3S - 12:00,6.6,10,4,78.3,17.7,86
Saturday,3 - 3S - 12:15,5.7,4,7.9,91.4,0.7,68
Saturday,3 - 3S - 12:30,9.2,5,4,80.8,15.2,120
Saturday,3 - 3S - 12:45,6.9,7.5,6.4,93,0.6,90
Saturday,3 - 3S - 13:00,6.9,11,3.7,82.9,13.5,90
Saturday,3 - 3S - 13:15,6.9,6,6.8,89,4.2,83
Saturday,3 - 3S - 13:30,8.2,5,4.5,78.7,16.8,107
Saturday,3 - 3S - 13:45,6.4,11,5.7,91.5,2.8,83
Saturday,3 - 3S - 14:00,9.8,11,4.2,68.9,26.9,127
Saturday,3 - 3S - 14:15,7.3,11,5.2,93.8,1,88
Saturday,3 - 3S - 14:30,4.8,5,6,92.8,1.2,53
Saturday,3 - 3S - 14:45,7.1,7,6.9,91.9,1.2,85
Saturday,3 - 3S - 15:00,7.8,11,7.5,92.5,0,101
Saturday,3 - 3S - 15:15,8.7,6,6,91.3,2.7,113
Saturday,3 - 3S - 15:30,6.5,6,7.8,90.7,1.5,85
Saturday,3 - 3S - 15:45,6.7,7,9.6,82.6,7.8,87
Saturday,3 - 3S - 16:00,8.1,12,5.7,91,3.3,105
Saturday,3 - 3S - 16:15,6,7,6,93.1,0.9,78
Saturday,3 - 3S - 16:30,4.7,6,8.4,91.3,0.3,56
Saturday,3 - 3S - 16:45,6.8,7,8.4,87.1,4.5,88
Saturday,3 - 3S - 17:00,8.5,11,6,91.9,2.1,111
Saturday,3 - 3S - 17:15,6.7,3.5,7.8,91.6,0.6,87
Saturday,3 - 3S - 17:30,7.3,6,8.7,90.7,0.6,88
Saturday,3 - 3S - 17:45,8.3,12,5.4,89.5,5.1,108
Saturday,3 - 3S - 18:00,7.1,10,7.2,92.8,0,92
Saturday,3 - 3S - 18:15,8.1,10,4.2,85.9,9.9,97
Saturday,3 - 3S - 18:30,5,5,8.1,91.9,0,55
Saturday,3 - 3S - 18:45,5.2,7,6.9,91.3,1.8,67
Saturday,3 - 3S - 19:00,7.3,10,4.8,92.5,2.7,87
Saturday,3 - 3S - 19:15,4.6,5,5.7,91.9,2.4,60
Saturday,3 - 3S - 19:30,2.6,4,12.3,87.4,0.3,29
Saturday,3 - 3S - 19:45,5,7,7.5,85.9,6.6,60
Saturday,3 - 3S - 20:00,5.8,11,4.2,83.5,12.3,75
Saturday,3 - 3S - 20:30,6.4,7,4.8,92.5,2.7,70
Saturday,3 - 3S - 21:00,6.1,12.5,4.8,94.6,0.6,61
Saturday,3 - 3S - 21:30,3.5,5,9.9,90.1,0,39
Sunday,3 - 3 N - 08:00,8.2,3,4.3,90,5.7,106
Sunday,3 - 3 N - 08:30,4.3,3,31.3,68.7,0,51
Sunday,3 - 3 N - 09:00,7,3,6,94,0,91
Sunday,3 - 3 N - 09:30,4.5,5,16.9,83.1,0,58
Sunday,3 - 3 N - 10:00,7.7,4,8.7,91.3,0,100
Sunday,3 - 3 N - 10:30,6.1,10,23.1,76.3,0.7,86
Sunday,3 - 3 N - 11:00,7.8,5,5,95,0,101
Sunday,3 - 3 N - 11:30,8.4,14,20.1,74.6,5.4,117
Sunday,3 - 3 N - 12:00,9.3,6,6,92,2,121
Sunday,3 - 3 N - 12:30,11.5,23,13.4,83.6,3,161
Sunday,3 - 3 N - 13:00,11,7,5,92.6,2.3,143
