Routes,TotalAvgDailyBoardings,TotalBoarding,TotalBoradingWeekday,TotalBoardingSaturday,TotalBoradingSunday,TotalAverageDailyWeekdayBorading ,TotalAverageDailySaturdayBorading ,TotalAverageDailySundayBorading ,AvgMedianLoad,AvgEarlyArrival,AvgOnTimeArrival,AvgLateArrival,AvgEarlyDeparture,AvgOnTimeDeparture,AvgLateDeparture,TotalSeasonalRevenueMiles,AverageDailyRevenueMilesWeekday,AverageDailyRevenueMilesSaturday,AverageDailyRevenueMilesSunday,TotalTripCount,PassengersPerTrip,TotalSeasonalRevenueHours,AverageDailyRevenueHoursWeekday,AverageDailyRevenueHoursSaturday,AverageDailyRevenueHoursSunday,RidershipPerRevHour,WeekdayRidershipPerRevHour,SaturdayRidershipPerRevHour,SundayRidershipPerRevHour,CostPerPassenger,CostPerPassenger-Weekday,CostPerPassenger-Saturday,CostPerPassenger-Sunday
1,2947.6,115395,96721,12581,6093,1525,974.7,438.7,6.4,5.00%,80.90%,14.10%,1.00%,82.70%,16.40%,"137,733.10","1,763.80","1,257.70",607,9626,12.0,7678.1,98.2,71.3,33.6,15.03,15.53,13.67,13.06,5.96,5.77,6.55,6.86
2X,119.8,7366,7366,0,0,119.8,0,0,1,14.60%,81.80%,3.60%,2.80%,92.70%,4.50%,49343.1,771,0,0,3840,1.9,1900.2,29.7,0,0,3.88,5,0.00,0.00,23.10,22.20,0.00,0.00
3,2274.8,95666,82837,8078,4751,1304.6,628.5,341.7,8.7,8.60%,86.60%,4.70%,4.00%,90.30%,5.70%,57485.4,712.2,651.7,245.1,9852,9.7,4841.7,60,55,20.4,19.76,21.94,11.43,16.75,4.53,4.12,7.84,5.35
10,133.7,6002,5369,633,0,84.7,49,0,2,4.70%,86.30%,9.00%,1.90%,88.30%,9.80%,"28,668.60",379.4,337.4,0,4157,1.4,1410.9,18.6,17.1,0,4.25,6.58,2.87,0.00,21.05,19.66,31.25,0.00
20,513.8,24627,22544,2083,0,353.2,160.6,0,3.6,5.30%,87.30%,7.40%,2.10%,89.40%,8.40%,33317.9,443.5,379.7,0,4811,5.1,1993.7,26.7,22.1,0,12.35,13.82,7.27,0.00,7.25,6.77,12.32,0.00
25,254.3,11771,10637,1134,0,166.9,87.4,0,3.1,6.00%,89.20%,4.80%,1.60%,92.90%,5.50%,15525.3,206.4,178,0,2182,5.4,1068.2,14.2,12.3,0,11.02,12.01,7.11,0.00,8.13,7.62,12.60,0.00
26,549.1,26333,24153,2180,0,381.1,168,0,4.4,3.30%,93.40%,3.20%,1.1%,95.00%,3.90%,40771.1,548.7,435.1,0,6825,3.9,2577.8,35.4,23.8,0,10.22,11.55,7.06,0.00,8.77,8.32,12.68,0.00
27X,18.5,1174,1174,0,0,18.5,0,0,0.2,11.00%,80.40%,8.50%,4.10%,86.80%,9.10%,25229.9,394.2,0,0,3072,0.4,1028,16.1,0,0,1.14,4.04,0.00,0.00,78.40,77.92,0.00,0.00
40,1264.8,45177,35699,4841,4637,559.2,374.6,331,10.1,6.80%,88.80%,4.40%,2.20%,92.20%,5.50%,35375.9,400.1,428.6,300,4952,9.1,2451.7,27.8,29.3,20.9,18.43,20.22,12.78,15.84,4.86,4.45,7.00,5.65
41,152.4,9626,9626,0,0,152.4,0,0,15.7,5.10%,92.20%,2.70%,1.80%,95.10%,3.10%,14079.1,220,0,0,1792,5.4,884,13.8,0,0,10.89,11.74,0.00,0.00,8.22,8.11,0.00,0.00
42,755.6,36360,33416,2944,0,528,227.6,0,12.8,7.50%,90.80%,1.60%,2.70%,95.20%,2.10%,31359.3,421.5,337.1,0,4464,8.1,2197.2,29.5,23.7,0,16.55,18.07,9.60,0.00,5.41,5.00,9.32,0.00
47,1639,62367,51366,6002,4999,813.2,468.1,357.7,5.5,5.70%,81.70%,12.60%,3.00%,82.00%,15.00%,76634.5,892,832,623.7,5157,12.1,4892.4,56.7,52.9,41,12.75,14.44,8.85,8.72,7.02,6.24,10.12,10.26
48,528.6,24844,22674,2170,0,359.1,169.5,0,4.4,5.00%,89.60%,5.40%,1.30%,92.30%,6.40%,35866.7,482.1,385.6,0,4464,5.6,2338,31.5,24.6,0,10.63,11.81,6.89,0.00,8.43,7.85,13.00,0.00
50,222.2,9298,8040,1258,0,125.8,96.4,0,3,11.10%,85.70%,3.30%,4.60%,91.60%,3.90%,13095.3,174.3,149.4,0,4208,2.2,1036.1,13.8,11.9,0,8.97,11.63,8.10,0.00,9.98,9.82,11.05,0.00
64,715,26677,21894,2616,2167,347.3,212.9,154.8,3.3,3.70%,81.60%,14.70%,0.70%,81.30%,18.00%,33283.2,389.8,365.7,256,5465,4.9,2449.9,27.9,29.1,20.3,10.89,13.41,7.32,7.63,8.22,7.19,12.24,11.74
65,959.7,49033,46080,2953,0,729.8,229.9,0,5.9,3.50%,78.10%,18.40%,1.30%,78.30%,20.50%,36456.4,494.2,371.2,0,4720,10.4,2515.1,34.2,25.2,0,19.50,21.72,9.12,0.00,4.59,4.20,9.81,0.00
67,793.7,37077,33752,3325,0,535.1,258.6,0,5.9,2.70%,76.20%,21.00%,0.80%,76.40%,22.80%,54674,734.9,587.7,0,4656,8.0,2894.9,38.4,33.4,0,12.81,14.16,7.74,0.00,6.99,6.43,11.56,0.00
68,331.1,20905,20905,0,0,331.1,0,0,5.6,5.40%,82.20%,12.40%,1.80%,84.00%,14.20%,22836.6,356.8,0,0,3648,5.7,1330.2,20.8,0,0,15.72,17.07,0.00,0.00,5.70,5.62,0.00,0.00
